,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Organic,Price Option 0,Price Option 1,Size,Standard Drinks,Varietal,Wine Body,Wine Style,Price Option 2,Region,State,Langtons Classified,Price Option 3,Price Option 4,Vegan Friendly,Price Option 5
17,12.5% (2010),Cullen,Cork,Australia,2010*,Diana Madeline Magnum 1.5L,,$285.00 in any six,$299.99 per bottle,1.5L,14.8 (2010),Cabernet Blend,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,Western Australia,,,,,
18,12.8% (2014),Glaetzer-Dixon,Screw Cap,Australia,2014*,Mon Pere Shiraz,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 486 of 755 Shiraz from Australia,750mL,7.6 (2014),Shiraz,Full Bodied,Dry,,,Tasmania,,,,,
19,13.5% (2014),Watson Family Vineyards,Screw Cap,Australia,2014*,Cabernet Merlot,,$17.10 in any six,$205.20 per case of 12,750mL,8.0 (2014),Cabernet Blend,Full Bodied,Dry,$17.99 per bottle,Margaret River,Western Australia,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
20,13.00%,Greenstone,Screw Cap,Australia,2013*,Rosso di Colbo Sangiovese,,$29.50 in any six,$177.00 per case of 6,750mL,7.7,Sangiovese,Medium Bodied,Dry,$30.99 per bottle,Heathcote,Victoria,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 5 of 20 Sangiovese from Victoria,,
21,15.30%,Bass Phillip,Cork,Australia,,Crown Prince Pinot Noir 2013,,$52.30 in any six,$313.80 per case of 6,750mL,8.9,Pinot Noir,Light Bodied,Dry,$55.00 per bottle,Gippsland,Victoria,,Ranked 14 of 17 Pinot Noir from Gippsland,,,
22,15% (2014),Two Hands,Cork,Australia,2014*,Bella's Garden Shiraz,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.9 (2014),Shiraz,Full Bodied,Dry,,Barossa Valley,South Australia,,,,,
23,12.8% (2014),Glaetzer-Dixon,Screw Cap,Australia,2014*,Mon Pere Shiraz,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 486 of 755 Shiraz from Australia,750mL,7.6 (2014),Shiraz,Full Bodied,Dry,,,Tasmania,,,,,
24,13.5% (2014),Watson Family Vineyards,Screw Cap,Australia,2014*,Cabernet Merlot,,$17.10 in any six,$205.20 per case of 12,750mL,8.0 (2014),Cabernet Blend,Full Bodied,Dry,$17.99 per bottle,Margaret River,Western Australia,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
25,14.2% (2015),Tim Smith,Screw Cap,Australia,2015*,Bugalugs Grenache,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0 (2015),Grenache,Medium Bodied,,,Barossa Valley,South Australia,,,,,
26,15.30%,Bass Phillip,Cork,Australia,,Crown Prince Pinot Noir 2013,,$52.30 in any six,$313.80 per case of 6,750mL,8.9,Pinot Noir,Light Bodied,Dry,$55.00 per bottle,Gippsland,Victoria,,Ranked 14 of 17 Pinot Noir from Gippsland,,,
27,15% (2014),Two Hands,Cork,Australia,2014*,Bella's Garden Shiraz,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.9 (2014),Shiraz,Full Bodied,Dry,,Barossa Valley,South Australia,,,,,
28,13.3% (2010),Giaconda,Cork,Australia,2010*,Warner Shiraz Magnum 1.5L,,$264.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",1.5L,15.7 (2010),Shiraz,Full Bodied,Dry,,Beechworth,Victoria,Excellent,,,,
29,14.00%,Hardys,Cork,Australia,,Eileen Hardy Shiraz 2008 Magnum 1.5L,,$190.00 in any six,"$1,140.00 per case of 6",1.5L,16,Shiraz,Full Bodied,Dry,$199.99 per bottle,McLaren Vale,South Australia,,"Awards: Gold Medal - Hobart Royal 2013 and Adelaide Royal 2012 & 2011 and Perth Royal 2010, Silver Medal - International Wine & Spirit 2013 and Perth Royal 2013 & 2012 & 2011and Melbourne Royal 2012 & 2010 & 2009 and Hobart Royal 2011 & 2010 & 2009 and National W",,,
30,14.00%,Paringa Estate,Screw Cap,Australia,,Pinot Noir 2009,,$98.99 per bottle,Ranked 5 of 39 Pinot Noir from Mornington Peninsula,750mL,8.3,Pinot Noir,Light Bodied,Dry,,Mornington Peninsula,Victoria,,,,,
31,13.00%,Penfolds,Cork,Australia,,Grange 1982 Magnum 1.5L,,"$2,000.00 per bottle",,1.5L,15,Shiraz,Full Bodied,Dry,,,South Australia,Exceptional,,,,
32,14.8% (2013),Two Hands,Cork,Australia,2013*,Ares Shiraz,,$152.00 in any six,$912.00 per case of 6,750mL,8.8 (2013),Shiraz,Full Bodied,Dry,$159.99 per bottle,Barossa Valley,South Australia,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
33,14.0% (2012),Saltram,Screw Cap,Australia,2012*,Single Vineyard Marble Quarry Road Shiraz,,$77.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3 (2012),Shiraz,Full Bodied,Dry,,Barossa Valley,South Australia,,,,,
34,14.0% (2015),Jasper Hill,Cork,Australia,2015*,Georgia's Paddock Nebbiolo,,$66.50 in any six,$399.00 per case of 6,750mL,8.3 (2015),Nebbiolo,Full Bodied,Dry,$69.99 per bottle,Heathcote,Victoria,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
35,13.50%,Elderton,Screw Cap,Australia,2012*,Neil Ashmead Grand Tourer Shiraz,,$69.40 in any six,$416.40 per case of 6,750mL,8,Shiraz,Full Bodied,Dry,$72.99 per bottle,Barossa Valley,South Australia,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 29 of 153 Shiraz from Barossa Valley,,
36,14.00%,Rockford,Cork,Australia,,Rifle Range Cabernet Sauvignon 1996,,$125.00 per bottle,,750mL,8.3,Cabernet Sauvignon,Full Bodied,Dry,,Barossa Valley,South Australia,,,,,
37,13.5% (2014),Shaw & Smith,Screw Cap,Australia,2014*,Pinot Noir,,$40.90 in any six,$245.40 per case of 6,750mL,8.0 (2014),Pinot Noir,Light Bodied,Dry,$42.99 per bottle,Adelaide Hills,South Australia,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 6 of 23 Pinot Noir from Adelaide Hills,,
38,14.0% (2010),Coriole,Cork,Australia,2014,Mary Kathleen Reserve Cabernet Merlot,,$37.88 in any six,$227.28 per case of 6,750mL,8.3 (2010),Cabernet Merlot,Medium Bodied,Dry,$37.88 per bottle,McLaren Vale,South Australia,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 26 of 47 Cabernet Sauvignon from South Australia,,
39,14.5% (2015),Don't Tell Gary,Screw Cap,Australia,2015*,Shiraz,,$22.80 in any six,$273.60 per case of 12,750mL,8.6 (2015),Shiraz,Full Bodied,Dry,$23.99 per bottle,Grampians,Victoria,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 21 of 36 Shiraz from Central Victoria,,
40,12.80%,Bass Phillip,Cork,Australia,2015,Crown Prince Pinot Noir 2015,,$65.60 in any six,$393.60 per case of 6,750mL,8,Pinot Noir,Light Bodied,Dry,$69.00 per bottle,Gippsland,Victoria,,Ranked 6 of 18 Pinot Noir from Gippsland,,,
41,13.5% (2013),Collector,Screw Cap,Australia,2013*,Reserve Shiraz,,$56.10 in any six,$336.60 per case of 6,750mL,8.0 (2013),Shiraz,Full Bodied,Dry,$58.99 per bottle,Canberra,New South Wales,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 7 of 17 Shiraz from Canberra District,,
42,14.00%,Petaluma,Screw Cap,Australia,2006,Coonawarra 2006,,$74.99 per bottle,Ranked 1 of 15 Cabernet Sauvignon from Coonawarra,750mL,8.3,Cabernet Blends,,Dry,,Coonawarra,South Australia,Excellent,,,,
43,13.5% (2010),Winburndale,Screw Cap,Australia,2010*,Solitary Shiraz,,$33.25 in any six,$399.00 per case of 12,750mL,8.0 (2010),Shiraz,Full Bodied,Dry,$34.99 per bottle,,New South Wales,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
44,13.0%,Chancellor & Co,Screw Cap,Australia,2012*,Cabernet Merlot,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.7,Cabernet Merlot,Medium Bodied,Dry,,,Victoria,,,,,
45,13.5% (2012),Briar Ridge,Screw Cap,Australia,2012*,Old Vine Shiraz,,$12.88 in any six,$154.56 per case of 12,750mL,8.0 (2012),Shiraz,Full Bodied,Dry,$12.88 per bottle,Hunter Valley,New South Wales,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
46,13.8%,Pizzini,Screw Cap,Australia,2017*,Nonna Gisella Sangiovese,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 9 of 16 Sangiovese from North East Victoria,750mL,8.2,Sangiovese,Medium Bodied,Dry,,King Valley,Victoria,,,,,
47,14.5% (2015),Crafters Union,Screw Cap,Australia,2015*,Lunar New Year Edition Shiraz,,$8.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6 (2015),Shiraz,Full Bodied,Dry,,McLaren Vale,South Australia,,,,,
48,12.00%,Lake's Folly,Cork,Australia,2004,Cabernets 2004,,$109.99 per bottle,,750mL,7.1,Red Blend,,Dry,,Hunter Valley,New South Wales,Excellent,,,,
49,13.0%,Chancellor & Co,Screw Cap,Australia,2012*,Cabernet Merlot,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,7.7,Cabernet Merlot,Medium Bodied,Dry,,,Victoria,,,,,
50,14.50%,Penfolds,Screw Cap,Australia,,Bin 407 Cabernet Sauvignon 2010,,$95.00 in any six,$570.00 per case of 6,750mL,8.6,Cabernet Sauvignon,Full Bodied,Dry,$99.99 per bottle,,South Australia,Excellent,Ranked 8 of 23 Cabernet Sauvignon from Barossa Valley,,,
51,12.5% (2011),Somerton,Screw Cap,Australia,2011*,Merlot,,$4.75 in any six,$28.50 per case of 6,750mL,7.4 (2011),Merlot,Medium Bodied,Dry,$4.99 per bottle,,Victoria,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
52,,Barossa & McLaren Vale,,Australia,,Shiraz Showcase Mixed 6 Pack,,,,750mL,,,,,,,,,,,,
53,12.40%,Dixons Creek Estate,Screw Cap,Australia,,Cabernet Sauvignon 2014,,,,750mL,7.3,Cabernet Sauvignon,Full Bodied,Dry,,Yarra Valley,,,,,,
54,14.00%,Sorby Adams,,Australia,,The Thing Shiraz 2012,,Awards: Gold Medal - Wine Showcase Magazine 2016,,750mL,8.3,Shiraz,Full Bodied,Dry,,Eden Valley,South Australia,,,,,
55,14.5% (2014),Peter Lehmann,Screw Cap,Australia,2014*,Classic Shiraz Grenache,,$7.00 in any six,$42.00 per case of 6,750mL,8.6 (2014),Shiraz Grenache,Medium Bodied,Dry,$7.00 per bottle,Barossa Valley,South Australia,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
56,13.5% (2012),Moondah Brook,Screw Cap,Australia,2012*,Cabernet Sauvignon,,$11.40 in any six,$68.40 per case of 6,750mL,8 (2012),Cabernet Sauvignon,Full Bodied,Dry,$11.99 per bottle,Margaret River,Western Australia,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
57,14.5% (2010),Parker Coonawarra Estate,Screw Cap,Australia,2010*,Favourite Son Shiraz,,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6 (2010),Shiraz,Full Bodied,Dry,,Coonawarra,South Australia,,,,,
58,14.0% & 13.5%,Franklin Tate Estates,Screw Cap,Australia,,Shiraz & Chardonnay Twin Pack,,$18.88 per pack,,750mL,8.3 & 8,,Full Bodied,,,Margaret River,Western Australia,,,,,
59,14.5% (2013),Saltram,Screw Cap,Australia,2013*,1859 Shiraz,,$11.95 in any six,$71.70 per case of 6,750mL,8.6 (2013),Shiraz,Full Bodied,Dry,$11.95 per bottle,Barossa Valley,South Australia,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 89 of 129 Shiraz from Barossa Valley,,
60,14.5% (2014),Penfolds,Screw Cap,Australia,2014*,Bin 9 Cabernet Sauvignon,,$22.88 in any six,$137.28 per case of 6,750mL,8.6 (2014),Cabernet Sauvignon,,Dry,$22.88 per bottle,,South Australia,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
61,14.50%,Penfolds,Screw Cap,Australia,2011,RWT Barossa Valley Shiraz 2011,,$151.99 in any six,$911.94 per case of 6,750mL,8.6,Shiraz,Full Bodied,Dry,$159.99 per bottle,Barossa Valley,South Australia,Outstanding,Ranked 15 of 56 Shiraz from Barossa Valley,,,
62,13.0% (2013),Tyrrell's,Screw Cap,Australia,2013*,Brokenback Shiraz,,$11.88 in any six,$71.28 per case of 6,750mL,7.7 (2013),Shiraz,Full Bodied,Dry,$11.88 per bottle,Hunter Valley,New South Wales,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 26 of 48 Shiraz from Lower Hunter,,
63,14.0% (2013),Jacob's Creek,Screw Cap,Australia,2013*,Double Barrel Cabernet Sauvignon & Glasses Gift Pack,,$23.88 per pack,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3 (2013),Cabernet Sauvignon,Full Bodied,Dry,Ranked 40 of 56 Cabernet Sauvignon from Coonawarra,Coonawarra,South Australia,,,,,
64,14.5%,Henschke,Screw Cap,Australia,2013,Mount Edelstone Shiraz 2018,,"Awards: 5 Star Gold Wine - 2018 Australian Wine Vintages, 31st Edition, Rob Geddes","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.6,Shiraz,Full Bodied,Dry,Ranked 4 of 141 Shiraz from Barossa,Eden Valley,South Australia,Exceptional,,,,
65,14.5% (2016),GR14,Screw Cap,Australia,2016,Langhorne Creek Shiraz,,$6.65 in any six,$39.90 per case of 6,750mL,8.6 (2016),Shiraz,Full Bodied,Dry,$6.99 per bottle,Langhorne Creek,Victoria,,,,,
66,13.5%,Yalumba,Screw Cap,Australia,2015*,The Persuader Shiraz,,$15.10 in any six,$90.60 per case of 6,750mL,8,Shiraz,Full Bodied,Dry,$15.90 per bottle,Barossa Valley,South Australia,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,true,
67,14.0% (2014),Motique,Screw Cap,Australia,2014*,Shiraz,,Awards: Gold Medal - China Wine & Spirits Awards 2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.3 (2014),Shiraz,Full Bodied,Dry,,Limestone Coast,South Australia,,,,,
68,13.50%,Orlando,Screw Cap,Australia,,St Hugo Cabernet Sauvignon 2009,,$51.99 per bottle,,750mL,8,Cabernet Sauvignon,Full Bodied,Dry,,Coonawarra,South Australia,,,,,
69,14.50%,Rolf Binder,Cork,Australia,2005,Hanisch Shiraz 2005,,$119.99 per bottle,,750mL,8.6,Shiraz,Full Bodied,Dry,,Barossa Valley,South Australia,Excellent,,,,
70,15.00%,Wendouree,Cork,Australia,2008,Cabernet Sauvignon 2008,,$152.99 per bottle,,750mL,8.9,Cabernet Sauvignon,Full Bodied,Dry,,Clare Valley,South Australia,Outstanding,,,,
71,14.50%,Jim Barry,Screw Cap,Australia,,Lodge Hill Shiraz 2009,,$27.55 in any six,$165.30 per case of 6,750mL,8.6,Shiraz,Full Bodied,Dry,$28.99 per bottle,Clare Valley,,,Ranked 15 of 26 Shiraz from Clare Valley,,,
72,14.50%,Clonakilla,Screw Cap,Australia,,Hilltops Shiraz 2010,,Ranked 2 of 16 Shiraz from Southern New South Wales,,750mL,8.6,Shiraz,Full Bodied,Dry,,Hilltops,New South Wales,,,,,
73,15.00%,Tim Adams,Cork,Australia,2000,The Aberfeldy Shiraz 2000,,$104.99 per bottle,,750mL,8.9,Shiraz,Full Bodied,Dry,,Clare Valley,South Australia,Excellent,,,,
74,14.50%,Turkey Flat,Cork,Australia,2003,Shiraz 2003,,$89.99 per bottle,Ranked 27 of 50 Shiraz from Barossa Valley,750mL,8.6,Shiraz,Full Bodied,Dry,,Barossa Valley,South Australia,Excellent,,,,
75,12.50%,Mount Mary,Cork,Australia,2006,Pinot Noir 2006,,$134.99 per bottle,,750mL,7.4,Pinot Noir,Light Bodied,Dry,,Yarra Valley,Victoria,Outstanding,,,,
76,14.5% (2008),Heathcote Estate,Screw Cap,Australia,2008*,Block B Shiraz,,$72.19 in any six,$433.14 per case of 6,750mL,8.6 (2008),Shiraz,Full Bodied,Dry,$75.99 per bottle,Heathcote,Victoria,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 16 of 31 Shiraz from Heathcote,,
77,14.00%,Seppelt,Cork,Australia,2002,St Peters Great Western Shiraz 2002,,$149.99 per bottle,,750mL,8.3,Shiraz,Full Bodied,Dry,,Grampians,Victoria,Outstanding,,,,
78,,,,,,Unknown,,,,,,,,,,,,,,,,
79,14.50%,Rolf Binder,Cork,Australia,2003,Hanisch Shiraz 2003,,$107.99 per bottle,,750mL,8.6,Shiraz,Full Bodied,Dry,,Barossa Valley,South Australia,Excellent,,,,
80,14.50%,Hardy's,Screw Cap,Australia,,Tintara Shiraz 2010,,,,750mL,8.6,Shiraz,Full Bodied,Dry,,McLaren Vale,South Australia,,,,,
81,14.50%,Torbreck,Cork,Australia,1999,RunRig Shiraz 1999,,$335.00 per bottle,,750mL,8.6,Shiraz,Full Bodied,Dry,,Barossa Valley,South Australia,Exceptional,,,,
82,13.50%,Giaconda,Cork,Australia,2006,Warner Shiraz 2006,,$98.99 per bottle,,750mL,8,Shiraz,Full Bodied,Dry,,Beechworth,Victoria,Excellent,,,,
83,14.50%,St Hallett,Screw Cap,Australia,,Faith Shiraz 2009,,$22.79 in any six,$136.74 per case of 6,750mL,8.6,Shiraz,Full Bodied,Dry,$23.99 per bottle,Barossa Valley,South Australia,,Ranked 80 of 108 Shiraz from Barossa Valley,,,
84,14.00%,Grosset,Screw Cap,Australia,2008,Gaia Cabernet Blend 2008,,$59.99 per bottle,Ranked 4 of 15 Cabernet Sauvignon from Mount Lofty Ranges,750mL,8.3,Cabernet Cabernet Franc Merlot,,Dry,,Clare Valley,South Australia,Excellent,,,,
85,14.50%,Torbreck,Cork,Australia,2002,The Struie Shiraz 2002,,$69.99 per bottle,,750mL,8.6,Shiraz,Full Bodied,Dry,,,South Australia,,,,,
86,15.00%,John Duval,Cork,Australia,2006,Eligo Shiraz 2006,,$83.99 per bottle,,750mL,8.9,Shiraz,Full Bodied,Dry,,Barossa Valley,South Australia,,,,,
87,14.50%,Rockford,Cork,Australia,2006,Rifle Range Cabernet Sauvignon 2006,,$98.99 per bottle,,750mL,8.6,Cabernet Sauvignon,Full Bodied,Dry,,Barossa Valley,South Australia,,,,,
88,14.8% (2010),Elderton,Screw Cap,Australia,2010*,Command Shiraz,,Awards: Gold - Dan Murphy's National Wine Show 2011,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",750mL,8.8 (2010),Shiraz,Full Bodied,Dry,Ranked 57 of 141 Shiraz from Barossa Valley,Barossa Valley,South Australia,Excellent,,,,
89,14.10%,Laurance,Screw Cap,Australia,2012,Icon Cabernet 2012,,$61.99 in any six,$371.94 per case of 6,750mL,8.3,Cabernet Sauvignon,Full Bodied,Dry,$62.99 per bottle,,,,,,,
90,13.50%,Wynns,Screw Cap,Australia,,Shiraz 2009,,$42.80 in any six,$256.80 per case of 6,750mL,8,Shiraz,Full Bodied,Dry,$44.99 per bottle,Coonawarra,South Australia,,Ranked 2 of 20 Shiraz from Coonawarra,,,
91,13.00%,Wendouree,Cork,Australia,1994,Cabernet Malbec 1994,,$138.99 per bottle,,750mL,7.7,Cabernet Malbec,,Dry,,Clare Valley,South Australia,Outstanding,,,,
92,13.5% (2014),McWilliam's,Screw Cap,Australia,2014*,Appellation Tumbarumba Pinot Noir,,$14.88 in any six,$89.28 per case of 6,750mL,8 (2014),Pinot Noir,Light Bodied,Dry,$14.88 per bottle,Tumbarumba,New South Wales,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
93,12.40%,Penfolds,Cork,Australia,1969,Grange 1969,,"$1,900.00 per bottle",,750mL,7.3,Shiraz,Full Bodied,Dry,,,South Australia,Exceptional,,,,
94,14.50%,Elderton,Screw Cap,Australia,2005,Command Shiraz 2005,,$119.99 per bottle,Ranked 55 of 112 Shiraz from Barossa Valley,750mL,8.6,Shiraz,Full Bodied,Dry,,Barossa Valley,South Australia,Excellent,,,,
95,8.5% (2012),Lindeman's,Screw Cap,Australia,2012*,Early Harvest Sweet Red,,$8.88 in any six,$53.28 per case of 6,750mL,5.0 (2012),,,Sweet,$8.88 per bottle,,Victoria,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,
