,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Organic,Vegan Friendly,Price Option 5
13,14.00%,Jamiesons Run,Screw Cap,Australia,,Cabernet Sauvignon 2004,$14.25 in any six,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,$169.09 per case of 12,$14.99 per bottle,,,,,
14,16.50%,Greenock Creek,Cork,Australia,2005,Apricot Block Shiraz 2005,$79.99 per bottle,Barossa Valley,750mL,9.7,South Australia,Shiraz,Full Bodied,Dry,,,,,,,,
15,14.50%,Peter Lehmann,Cork,Australia,2001,Stonewell Shiraz 2001,$80.75 in any six,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Outstanding,$479.35 per case of 6,$84.99 per bottle,Ranked 2 of 24 Shiraz from Barossa Valley,,,,
16,14.50%,Orlando,Cork,Australia,,Lawson's Padthaway Shiraz 2002,$59.90 in any six,Padthaway,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,$330.00 per case of 6,$62.90 per bottle,"Awards: 2 Trophy - Sydney Royal Wine Show 2008, Limestone Coast Wine Show 2005. 3 Gold - Royal Adelaide Wine Show 2006, National Wine Show of Australia 2005, Royal Melbourne Wine Show 2006.",Ranked 40 of 98 Shiraz from South Australia,,,
17,14.00%,Tim Adams,Screw Cap,Australia,,Cabernet 2003,$20.89 in any six,Clare Valley,750mL,8.3,South Australia,Red Blend,,Dry,,$248.05 per case of 12,$21.99 per bottle,,,,,
18,13.50%,Wolf Blass,Screw Cap,Australia,,Yellow Label Cabernet Sauvignon 2006,$14.90 in any six,,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,$87.00 per case of 6,$15.90 per bottle,,,,,
19,14.00%,Penfolds,Screw Cap,Australia,2005,Cellar Reserve Cabernet Shiraz 2005,$199.99 per bottle,,750mL,8.3,South Australia,Cabernet Shiraz,Full Bodied,Dry,,"$1,139.94 per case of 6",$189.99 in any six,Ranked 1 of 53 Cabernet Sauvignon from South Australia,,,,
20,14.50%,Saltram,Screw Cap,Australia,2005,Shiraz Cabernet 2005,$20.89 in any six,Barossa Valley,750mL,8.6,South Australia,Shiraz Cabernet,Full Bodied,Dry,,$124.05 per case of 6,$21.99 per bottle,,,,,
21,13.50%,Wolf Blass,Screw Cap,Australia,,Yellow Label Cabernet Sauvignon 2005,$14.25 in any six,,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,$171.00 per case of 12,$14.99 per bottle,Ranked 45 of 112 Cabernet Sauvignon from South Australia,,,,
22,13.5% (2008),Deakin Estate,Screw Cap,Australia,2008*,Cabernet Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0 (2008),Victoria,Cabernet Sauvignon,Full Bodied,Dry,,,,,,,,
23,14.00%,Water Wheel,Screw Cap,Australia,2004,Cabernet Sauvignon 2004,$18.05 in any six,Bendigo,750mL,8.3,Victoria,Cabernet Sauvignon,Full Bodied,Dry,,$214.25 per case of 12,$18.99 per bottle,,,,,
24,13.50%,Penfolds,Screw Cap,Australia,,Koonunga Hill Cabernet Sauvignon 2006,$16.15 in any six,,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,$95.85 per case of 6,$16.99 per bottle,,,,,
25,13.5% (2011),Rouge Homme,Screw Cap,Australia,2011*,Limestone Coast Cabernet Merlot,$11.99 per bottle,Limestone Coast,750mL,8.0 (2011),South Australia,Cabernet Merlot,Medium Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
26,14.00%,Freycinet,Screw Cap,Australia,2013*,Louis Pinot Noir,$35.20 in any six,,750mL,8.3,Tasmania,Pinot Noir,Light Bodied,Dry,,$422.40 per case of 12,$36.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 24 of 108 Pinot Noir from Tasmania,,,
27,14.5% (2008),Toolangi,Screw Cap,Australia,2008*,Estate Shiraz,$31.35 in any six,Yarra Valley,750mL,8.6 (2008),Victoria,Shiraz,Full Bodied,Dry,,$372.15 per case of 12,$32.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 5 of 22 Shiraz from Yarra Valley,,,
28,14.50%,Torbreck,Cork,Australia,2002,Descendant Shiraz Viognier 2002,$137.75 in any six,Barossa Valley,750mL,8.6,South Australia,Shiraz Viognier,,Dry,Excellent,$144.99 per bottle,,,,,,
29,15.00%,Sevenhill,Screw Cap,Australia,,Inigo Shiraz 2005,$18.99 in any six,Clare Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,$225.49 per case of 12,$19.99 per bottle,,,,,
30,15.50%,Two Hands Wines,Cork,Australia,2012*,Aerope Grenache,$71.30 in any six,Barossa Valley,750mL,9.2,South Australia,Grenache,Medium Bodied,Dry,,$427.80 per case of 6,$74.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
31,14.00%,Penfolds,Screw Cap,Australia,2005,Cellar Reserve Cabernet Shiraz 2005,$199.99 per bottle,,750mL,8.3,South Australia,Cabernet Shiraz,Full Bodied,Dry,,"$1,139.94 per case of 6",$189.99 in any six,Ranked 1 of 53 Cabernet Sauvignon from South Australia,,,,
32,14.50%,Saltram,Screw Cap,Australia,2005,Shiraz Cabernet 2005,$20.89 in any six,Barossa Valley,750mL,8.6,South Australia,Shiraz Cabernet,Full Bodied,Dry,,$124.05 per case of 6,$21.99 per bottle,,,,,
33,,,,,,Unknown,,,,,,,,,,,,,,,,
34,14.50%,Clarendon Hills,Cork,Australia,2012*,Bakers Gully Syrah,$69.40 in any six,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,$416.40 per case of 6,$72.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
35,14.50%,Clarendon Hills,Cork,Australia,2012*,Sandown Cabernet Sauvignon,$69.40 in any six,McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,$416.40 per case of 6,$72.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
36,14.10%,Clarendon Hills,Cork,Australia,,Merlot Brookman Vineyard 2009,$80.80 in any six,McLaren Vale,750mL,8.3,South Australia,Merlot,Medium Bodied,Dry,,$484.80 per case of 6,$84.99 per bottle,,,,,
37,13.5% (2011),Rouge Homme,Screw Cap,Australia,2011*,Limestone Coast Cabernet Merlot,$11.99 per bottle,Limestone Coast,750mL,8.0 (2011),South Australia,Cabernet Merlot,Medium Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
38,14.00%,Freycinet,Screw Cap,Australia,2013*,Louis Pinot Noir,$35.20 in any six,,750mL,8.3,Tasmania,Pinot Noir,Light Bodied,Dry,,$422.40 per case of 12,$36.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 24 of 108 Pinot Noir from Tasmania,,,
39,13.6% (2011),Some Young Punks,Screw Cap,Australia,2011*,Lust Collides Mataro,$18.88 in any six,McLaren Vale,750mL,8 (2011),South Australia,Mourvèdre,,Dry,,$226.56 per case of 12,$18.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
40,13.50%,Henschke,Cork,Australia,1996,Mount Edelstone Shiraz 1996,,Eden Valley,750mL,8,South Australia,Shiraz,Full Bodied,Dry,Exceptional,,,,,,,
41,14.80%,Brand's Laira,Screw Cap,Australia,,Blockers Cabernet Sauvignon 2008,$33.30 in any six,Coonawarra,750mL,8.8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,$199.80 per case of 6,$34.99 per bottle,Ranked 19 of 44 Cabernet Sauvignon from Coonawarra,,,,
42,15.50%,Two Hands Wines,Cork,Australia,2012*,Aerope Grenache,$71.30 in any six,Barossa Valley,750mL,9.2,South Australia,Grenache,Medium Bodied,Dry,,$427.80 per case of 6,$74.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
43,14.00%,Wynns,Screw Cap,Australia,2007,Shiraz 2007,$19.95 in any six,Coonawarra,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,$118.39 per case of 6,$20.99 per bottle,Ranked 4 of 16 Shiraz from Limestone Coast,,,,
44,14.00%,Peter Lehmann,,Australia,2002,Mentor Cabernets 2002,$59.85 in any six,Barossa Valley,750mL,8.3,South Australia,Red Blend,,Dry,,$62.99 per bottle,"Awards: Trophy - Royal Melbourne Wine Show 2007. 2 Gold - Royal Hobart Wine Show 2004, Royal Melbourne Wine Show 2007",Ranked 14 of 26 Cabernet Sauvignon from South Australia,,,,
45,12.50%,Thousand Candles,Cork,Australia,2014*,Yarra Valley,$90.30 in any six,Yarra Valley,750mL,7.4,Victoria,Red Blend,Full Bodied,Dry,,$541.80 per case of 6,$94.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
46,14.50%,Clarendon Hills,Cork,Australia,2012*,Bakers Gully Syrah,$69.40 in any six,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,$416.40 per case of 6,$72.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
47,14.50%,Clarendon Hills,Cork,Australia,2012*,Sandown Cabernet Sauvignon,$69.40 in any six,McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,$416.40 per case of 6,$72.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
48,13.5% (2006),Yarra Burn,Cork,Australia,2006*,Cabernet Sauvignon,$12.29 in any six,Yarra Valley,750mL,8.0 (2006),Victoria,Cabernet Sauvignon,Full Bodied,Dry,,$72.79 per case of 6,$12.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
49,14.50% (2013),Bird in Hand,Screw Cap,Australia,2013*,Nightingale Mt Lofty Shiraz,$9.40 in any six,Mt Lofty,750mL,8.6 (2013),South Australia,Shiraz,Full Bodied,Dry,,$56.40 per case of 6,$9.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
50,12.9% (2011),Eden Road,Screw Cap,Australia,2011*,Canberra Shiraz,$44.99 per bottle,Canberra District,750mL,7.6 (2011),New South Wales,Shiraz,Full Bodied,Dry,,Awards: Trophy - Canberra Regional Wine Show 2012. Gold - Canberra Regional Wine Show 2012,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,
51,14.00%,George Wyndham,Screw Cap,Australia,,Founder's Reserve Shiraz 2007,$18.05 in any sixp,Langhorne Creek,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,$108.30 per case of 6,$18.99 per bottle,,,,,
52,15.00%,Mildara,Screw Cap,Australia,2008,Coonawarra Cabernet Sauvignon 2008,$28.49 in any six,Coonawarra,750mL,8.9,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,$170.94 per case of 6,$29.99 per bottle,,,,,
53,,,,,,Unknown,,,,,,,,,,,,,,,,
54,14.50%,St Hallett,Screw Cap,Australia,,Blackwell Shiraz 2008,$37.99 in any six,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,$227.94 per case of 6,$39.99 per bottle,Ranked 5 of 114 Shiraz from Barossa Valley,,,,
55,13.0% (2012),Grant Burge,Screw Cap,Australia,2012,Dolcetto Shiraz,$8.90 in any six,,750mL,7.7 (2012),,Dolcetto,,Sweet,,$53.40 per case of 6,$8.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
56,,,,,,Unknown,,,,,,,,,,,,,,,,
57,,Clonakilla,Cork,Australia,2000,Shiraz Viognier 2000,$139.99 per bottle,Canberra District,750mL,,New South Wales,Shiraz Viognier,,Dry,Exceptional,,,,,,,
58,,Yarra Yering,Cork,Australia,1995,Dry Red No.1 1995,$82.99 per bottle,Yarra Valley,750mL,,Victoria,Red Blend,,Dry,Excellent,,,,,,,
59,14.00%,Wynns,Screw Cap,Australia,2005,John Riddoch Cabernet Sauvignon 2005,$149.99 per bottle,Coonawarra,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Exceptional,Ranked 13 of 34 Cabernet Sauvignon from Coonawarra,,,,,,
60,13.50%,Wendouree,Cork,Australia,2009,Cabernet Sauvignon 2009,$151.99 per bottle,Clare Valley,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Outstanding,,,,,,,
61,14.0% (2005),Punters Corner,Screw Cap,Australia,2005,Shiraz,$20.90 in any six,Coonawarra,750mL,8.3 (2005),South Australia,Shiraz,Full Bodied,Dry,,$250.80 per case of 12,$20.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
62,13.7% (2010),Tertini,Screw Cap,Australia,2010*,Pinot Noir,$54.99 in any six,,750mL,8.1 (2010),,Pinot Noir,Light Bodied,Dry,,$627.60 per case of 12,$54.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 1 of 19 Pinot Noir from New South Wales,,,
63,14.1% (2009),Evans & Tate,Screw Cap,Australia,2009*,Gnangara Cabernet Sauvignon,$9.99 per bottle,,750mL,8.3 (2009),Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
64,14.50%,St Hallett,Screw Cap,Australia,2006,Blackwell Shiraz 2006,$37.99 in any six,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,$228.00 per case of 6,$39.99 per bottle,Ranked 58 of 120 Shiraz from Barossa Valley,,,,
65,13.8% (2009),Frog Rock,Screw Cap,Australia,2009,Shiraz,$17.99 per bottle,Mudgee,750mL,8.2 (2009),New South Wales,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
66,15.00%,Irvine,Cork,Australia,1998,Grand Merlot 1998,$94.99 per bottle,Eden Valley,750mL,8.8,South Australia,Merlot,Medium Bodied,Dry,,,,,,,,
67,13.50%,Penfolds,Cork,Australia,1999,Bin 707 Cabernet Sauvignon 1999 Magnum 1.5L,$379.99 in any six,,1.5L,16,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Exceptional,"$2,255.95 per case of 6",$399.99 per bottle,,,,,
68,14.00%,Rosemount,Cork,Australia,1996,Mountain Blue Shiraz Cabernet 1996,$59.99 per bottle,Mudgee,750mL,8.3,New South Wales,Shiraz Cabernet,Full Bodied,Dry,,,,,,,,
69,14.0% (2008),Barwick Estate,Screw Cap,Australia,2008,Cabernet Sauvignon,$12.35 in any six,,750mL,8.3 (2008),Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,$146.55 per case of 12,$10.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
70,13.70%,Penfolds,Cork,Australia,1987,Grange 1987 Magnum 1.5L,"$1,199.00 per bottle",,1.5L,16.2,South Australia,Shiraz,Full Bodied,Dry,Exceptional,,,,,,,
71,14.00%,Henschke,Cork,Australia,,Abbotts Prayer Cabernet Merlot 2005,,Adelaide Hills,750mL,8.3,South Australia,Merlot,Medium Bodied,Dry,,,,,,,,
72,14.50%,Rockford,Cork,Australia,,Rifle Range Cabernet Sauvignon 2011,$49.99 per bottle,Barossa Valley,750mL,4.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,,,
73,14.50%,d'Arenberg,Cork,Australia,,Laughing Magpie Shiraz Viognier 2001,$49.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz Viognier,,Dry,,,,,,,,
74,13.8% (2006),Wildwood,Screw Cap,Australia,2006*,Shiraz,$14.88 in any six,Sunbury,750mL,8.2 (2006),Victoria,Shiraz,Full Bodied,Dry,,$178.56 per case of 12,$14.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
75,13.00%,Penfolds,Cork,Australia,,Bin 128 1988,$99.99 per bottle,Coonawarra,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,,,,,,,,
76,13,Penfolds,Cork,Australia,,St Henri Shiraz 1981,$475.00 per bottle,,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,,,,,,,,
77,13.20%,Wendouree,Cork,Australia,,Cabernet Malbec 1987,$152.00 in any six,Clare Valley,750mL,7.8,South Australia,Cabernet Malbec,,Dry,,$159.99 per bottle,,,,,,
78,11.70%,Penfolds,Cork,Australia,1985,Magill Estate Shiraz 1985,$94.99 per bottle,Adelaide,750mL,6.9,South Australia,Shiraz,Full Bodied,Dry,Excellent,,,,,,,
79,14.0% (2009),Sirromet,Screw Cap,Australia,2009*,Seven Scenes Merlot,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Granite Belt,750mL,8.3 (2009),Queensland,Merlot,Medium Bodied,Dry,,,,,,,,
80,12.5% (2013),Langmeil,Screw Cap,Australia,2013*,Bella Rouge Cabernet Rosé,$14.95 in any six,Barossa Valley,750mL,7.4 (2013),South Australia,Cabernet Sauvignon,Light Bodied,Dry,,$89.70 per case of 6,$14.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
81,14.00%,Jasper Hill,Cork,Australia,2010,Georgia's Paddock Shiraz 2010,$124.99 per bottle,Heathcote,750mL,8.3,Victoria,Shiraz,Full Bodied,Dry,Outstanding,,,,,true,,
82,13.40%,Domaine A,Cork,Australia,,Cabernet Sauvignon 1999,,,750mL,7.9,Tasmania,Cabernet Sauvignon,Full Bodied,Dry,,,,,,,,
83,13.50%,Domaine A,Cork,Australia,,Cabernet Sauvignon 2004,,,750mL,8,Tasmania,Cabernet Sauvignon,Full Bodied,Dry,,,,,,,,
84,14.8% (2014),Woodstock,Screw Cap,Australia,2014*,Cabernet Sauvignon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.8 (2014),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,,,,,
85,14.5% (2013),Château Tanunda,Screw Cap,Australia,2013*,Anniversary Shiraz,$13.88 in any six,Barossa Valley,750mL,8.6 (2013),South Australia,Shiraz,Full Bodied,Dry,,$83.28 per case of 6,$13.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
86,14.5,Chateau Tanunda,Screw Cap,Australia,2015,Chorus SPM 2015,$97.20 per case of 6,Barossa Valley,750mL,8.6,South Australia,Shiraz Blend,,Dry,,$16.99 per bottle,$16.20 in any six,,,,,
87,13.50%,Wynns,Cork,Australia,2004,Black Label Cabernet Sauvignon 2004,$61.80 in any six,Coonawarra,750mL,8,South Australia,Cabernet Sauvignon,Full Bodied,Dry,Excellent,$370.80 per case of 6,$64.99 per bottle,Ranked 6 of 30 Cabernet Sauvignon from Coonawarra,,,,
88,14.0% (2010),Taylors Estate,Screw Cap,Australia,2010,Cabernet Sauvignon 2010,$28.50 in any six,Clare Valley,750mL,8.3 (2010),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,$171.00 per case of 6,$29.99 per bottle,,,,,
89,14.0% (2010),Taylors Estate,Screw Cap,Australia,2010,Cabernet Sauvignon 2010,$28.50 in any six,Clare Valley,750mL,8.3 (2010),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,$171.00 per case of 6,$29.99 per bottle,,,,,
90,14.90%,Turkey Flat,Cork,Australia,1996,Shiraz 1996,$124.99 per bottle,Barossa Valley,750mL,8.8,South Australia,Shiraz,Full Bodied,Dry,Excellent,Ranked 9 of 20 Shiraz from Australia,,,,,,
91,13.5% (2012),McWilliam's,Screw Cap,Australia,2012*,Inheritance Shiraz Cabernet,$4.95 in any six,,750mL,8.0 (2012),,Shiraz Cabernet,Full Bodied,Dry,,$29.70 per case of 6,$4.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
92,14.5% (2009),Lindeman's,Screw Cap,Australia,2009*,Coonawarra Trio Pyrus Cabernet Blend,Awards: Trophy - London International Wine Challenge 2011. Gold - London International Wine Challenge 2011,Coonawarra,750mL,8.6 (2009),South Australia,Cabernet Blends,,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 3 of 18 Cabernet Sauvignon from Coonawarra,,,,,
93,,,,,,Unknown,,,,,,,,,,,,,,,,
94,13.5% (2015),Taylors,Screw Cap,Australia,2015*,Promised Land Cabernet Merlot,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8 (2015),South Australia,Cabernet Merlot,Medium Bodied,Dry,,,,,,,,
95,14.20%,Penfolds,Cork,Australia,2004,Bin 389 Cabernet Shiraz 2004,$129.99 per bottle,,750mL,8.4,South Australia,Shiraz Cab Blends,Full Bodied,Dry,Outstanding,Ranked 3 of 44 Cabernet Sauvignon from South Australia,,,,,,
96,14.5% (2010),Seppelt,Screw Cap,Australia,2010*,Silverband Shiraz,$20.88 per bottle,Grampians,750mL,8.6 (2010),Victoria,Shiraz,Full Bodied,Dry,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
97,14.5% (2010),Parker Coonawarra Estate,Screw Cap,Australia,2010*,Terra Rossa Cabernet Sauvignon Wine Glass Gift Pack,$30.88 per pack,Coonawarra,750mL,8.6 (2010),South Australia,Cabernet Sauvignon,Full Bodied,Dry,,$92.64 per case of 3,$30.88 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur",,,,
98,13.5% (2014),Smith & Hooper,Screw Cap,Australia,2014*,Merlot,$10.88 in any six,Wrattonbully,750mL,8 (2014),South Australia,Merlot,Medium Bodied,Dry,,$65.28 per case of 6,$10.88 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
99,13%,Murray Street,Cork,Australia,2014,Red Label Shiraz 2014,$13.20 in any six,Barossa Valley,750mL,7.7,South Australia,Shiraz,Full Bodied,Dry,,$79.20 per case of 6,$13.88 per bottle,,,,,
100,14.5% (2006),Clarendon Hills,Cork,Australia,2006*,Astralis Syrah,$420.00 per bottle,McLaren Vale,750mL,8.6 (2006),South Australia,Syrah,Full Bodied,Dry,Exceptional,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
101,14.50%,Clarendon Hills,Cork,Australia,2002,Astralis Syrah 2002,$490.00 per bottle,McLaren Vale,750mL,8.6,South Australia,Syrah,Full Bodied,Dry,Exceptional,,,,,,,
102,14.50%,Saltram,Cork,Australia,2006,The Journal Shiraz 2006,$133.00 in any six,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,$798.00 per case of 6,$139.99 per bottle,Awards: Trophy Barossa Wine Show 2015/2016,Ranked 35 of 120 Shiraz from Barossa Valley,,,
103,15.0% (2009),Wignalls,Screw Cap,Australia,2009*,Pinot Noir,$35.20 in any six,,750mL,8.9 (2009),Western Australia,Pinot Noir,Light Bodied,Dry,,$422.40 per case of 12,$36.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 4 of 15 Pinot Noir from South West Australia,,,
104,14.50%,Brands Laira,Screw Cap,Australia,,Cabernet Merlot 2012,$23.80 in any six,Coonawarra,750mL,8.6,South Australia,Cabernet Merlot,Medium Bodied,Dry,,$142.80 per case of 6,$24.99 per bottle,,,,,
