,Alcohol Volume,Brand Name,Country,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Closure,Current Vintage,Price Option 3,Wine Body,Wine Style,Price Option 4,Price Option 5,Langtons Classified,Vegan Friendly,Organic
10,13.5%,De Bortoli,Australia,Premium Reserve Cabernet Sauvignon Cask 2L,$9.99 each,$57.00 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,2L,21.0,New South Wales,Cabernet Sauvignon,Cask Closure,2017*,,,Dry,,,,,
11,14.5%,Evans & Tate,Australia,Broadway Cabernet Sauvignon,$22.80 in any six,$136.80 per case of 6,$23.99 per bottle,Margaret River,750mL,8.6,Western Australia,Cabernet Sauvignon,Screw Cap,2016*,"Awards: Gold - Royal Melbourne Wine Show 2017 (2015 vintage), Gold - Royal Hobart Wine Show 2017 (2015 vintage)",Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
12,13.5%,De Bortoli,Australia,Windy Peak Cabernet Sauvignon,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,,750mL,8.0,,Cabernet Sauvignon,Screw Cap,2014*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,true,
13,14.00%,Howard Park,Australia,Abercrombie Cabernet Sauvignon 2007 Magnum 1.5L,$214.99 per bottle,,,Great Southern,1.5L,17,Western Australia,Cabernet Sauvignon,Cork,,,Full Bodied,Dry,,,,,
14,14.00%,Wynns,Australia,Michael Shiraz 2009,$142.99 per bottle,Ranked 3 of 20 Shiraz from Coonawarra,,Coonawarra,750mL,8.3,South Australia,Shiraz,Screw Cap,2009,,Full Bodied,Dry,,,Outstanding,,
15,14.5%,Ulithorne,Australia,Avitus Shiraz 2016,$80.80 in any six,$484.80 per case of 6,$84.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,Screw Cap,2016*,Awards: 97 Points - Double Gold - San Fransisco Wine Show,Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 16 of 107 Shiraz from McLaren Vale,,,
16,13.5%,De Bortoli,Australia,Premium Reserve Merlot Cask 2L,$9.99 each,$57.00 per case of 6,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,2L,21.0,New South Wales,Merlot,Cask Closure,2017*,,,Dry,,,,,
17,14.5% (2013),The Lake House,Australia,Merlot,$23.75 in any six,$285.00 per case of 12,$24.99 per bottle,Great Southern,750mL,8.6 (2013),Western Australia,Merlot,Screw Cap,2013*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Medium Bodied,Dry,,,,,
18,14%,Bleasdale,Australia,Bremerview Shiraz,$17.10 in any six,$102.60 per case of 6,$17.99 per bottle,Langhorne Creek,750mL,8.3,South Australia,Shiraz,Screw Cap,2016*,"Awards: Gold 2017 Sydney Royal Wine Show, Gold 2017 Langhorne Creek Wine Show, Gold 2016 National Wine Show of Australia, Gold 2016 Royal Melbourne Wine Show",Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 58 of 118 Shiraz from Fleurieu,,,
19,14.5%,Torbreck,Australia,Hillside Vineyard Shiraz Roussanne,$30.40 in any six,$364.80 per case of 12,$31.99 per bottle,Barossa Valley,750mL,8.6,South Australia,Shiraz Blends,Screw Cap,2017,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
20,13.5%,Leeuwin Estate,Australia,Prelude Cabernet Sauvignon,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,Margaret River,750mL,8.0,Western Australia,Cabernet Sauvignon,Screw Cap,2014*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Medium Bodied,Dry,,,,,
21,14.5%,Annie's Lane,Australia,Copper Trail Shiraz,$54.99 per bottle,$313.50 per case of 6,$52.25 in any six,Clare Valley,750mL,8.6,South Australia,Shiraz,Screw Cap,2013*,"Awards: Silver Medal - International Wine & Spirit Competition 2015, Gold Medal - Royal Adelaide Wine Show 2014",Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 5 of 34 Shiraz from Clare Valley,,,
22,13.5%,Hentley Farm,Australia,The Marl Grenache,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,Barossa Valley,750mL,8.0,South Australia,Grenache,Screw Cap,2016*,Awards: Double Gold Melbourne International Wine Competition – 2016 Hentley Farm The Marl Grenache,Medium Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
23,13.7,Secret Selection,Australia,Yarra Valley Cabernet Sauvignon 2013,Delivery Offer$250.00 per case of 6,$69.95 per bottle,$419.70 per case of 6,Yarra Valley,750mL,8.1,,Cabernet Sauvignon,Screw Cap,2013,,Full Bodied,,,,,,
24,14.5% (2012),Peter Lehmann,Australia,8 Songs Shiraz,$38.00 in any six,$228.00 per case of 6,$39.99 per bottle,Barossa Valley,750mL,8.6 (2012),South Australia,Shiraz,Screw Cap,2012*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
25,14.5%,Chapel Hill,Australia,McLaren Vale Shiraz,$28.49 in any six,$170.94 per case of 6,$29.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,Screw Cap,2016*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,Ranked 85 of 107 Shiraz from McLaren Vale,,,,
26,14%,Franklin Tate Estates,Australia,Alexanders Vineyard Reserve Shiraz,$20.89 in any six,$119.70 per case of 6,$21.99 per bottle,Margaret River,750mL,8.3,Western Australia,Shiraz,Screw Cap,2017*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
27,10.5%,Ativo,Australia,Spritzed Rose,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,,750mL,6.2,,Rosé,Screw Cap,Non Vintage*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Light Bodied,Semi Sweet,,,,,
28,14%,Shingleback,Australia,Red Knot Cabernet Sauvignon 2014,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,McLaren Vale,750mL,8.3,South Australia,Caberent Sauvignon,Screw Cap,2014,"Awards: Decanter World Wine Awards, 2015: Silver 
International Wine Challenge, 2015: Commended",,,,,,,
29,15%,Haan,Australia,Wilhelmus,$69.10 per bottle,$414.61 per case of 6,,Barossa Valley,750mL,8.89,South Australia,"Cabernet Sauvignon, Merlot, 16% Cabernet Franc, Malbec, Petit Verdot",,,,,,,,,,
30,14.5%,Château Tanunda,Australia,Chorus Grenache Mataro Shiraz,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,Barossa,750mL,8.6,South Australia,Grenache Mataro Shiraz,Screw Cap,2015*,Awards: Gold Medal - China Wine & Spirits Awards 2016,,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
31,13.5%,Rosemount,Australia,Diamond Label Merlot,$9.45 in any six,$56.70 per case of 6,$9.95 per bottle,,750mL,8.0,,Merlot,Screw Cap,2016*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Medium Bodied,Dry,,,,,
32,14.5%,Franklin Tate Estates,Australia,Shiraz,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,Margaret River,750mL,8.6,Western Australia,Shiraz,Screw Cap,2015*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
33,13.5% (2014),Toolangi,Australia,Pinot Noir,$25.70 in any six,$308.40 per case of 12,$26.99 per bottle,Yarra Valley,750mL,8 (2014),Victoria,Pinot Noir,Screw Cap,2014*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Light Bodied,Dry,,,,,
34,13.5%,Brown Brothers,Australia,Patricia Cabernet Sauvignon,$50.40 in any six,$302.40 per case of 6,$52.99 per bottle,King Valley,750mL,8.0,Victoria,Cabernet Sauvignon,Cork,2013*,"Awards: 2 Trophies - Best Cabernet Sauvignon - Victorian Wine Show 2011, 2012. Blue Gold Medal - Sydney International Wine Competition. 11 Gold Medals - Royal Adelaide Wine Show 2013, Rutherglen Wine Show 2013, National Wine Show 2012, Royal Melbourne Wine Awards",Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 9 of 38 Cabernet Sauvignon from Victoria,,,
35,,,,Unknown,,,,,,,,,,,,,,,,,,
36,14.4%,Secret Selection,Australia,McLaren Vale Cabernet Sauvignon 2014,Online Offer$12.90 per bottle,$22.80 in any six,$136.80 per case of 6,McLaren Vale,750mL,8.6,South Australia,,Screw Cap,2014,$23.99 per bottle,,Dry,,,,,
37,15.0% (2009),Scarpantoni,Australia,Cabernet Sauvignon,$35.99 in any six,$410.40 per case of 12,$35.99 per bottle,McLaren Vale,750mL,8.9 (2009),South Australia,Cabernet Sauvignon,Screw Cap,2009*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
38,13.5%,Katnook Estate,Australia,Shiraz,$34.19 in any six,$205.14 per case of 6,$35.99 per bottle,Coonawarra,750mL,8.0,South Australia,Shiraz,Screw Cap,2015*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,Ranked 8 of 16 Shiraz from Coonawarra,,,,
39,14.5%,Yalumba,Australia,Galway Traditional Shiraz,$13.30 in any six,$79.20 per case of 6,$13.99 per bottle,,750mL,8.6,South Australia,Shiraz,Screw Cap,2016*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,true,
40,14.5%,Jip Jip Rocks,Australia,Shiraz Cabernet,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,Padthaway,750mL,8.6,South Australia,Shiraz Cabernet,Screw Cap,2016*,"Awards: Double Gold - China Wine & Spirits Awards 2014, Gold Medal - New Zealand International Wine Awards 2014",Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
41,13.5%,Climbing,Australia,Merlot,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,Orange,750mL,8.0,New South Wales,Merlot,Screw Cap,2015*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Medium Bodied,Dry,,,,,
42,13.5%,Fowles Wine,Australia,Are You Game? Pinot Noir,$16.15 in any six,$96.90 per case of 6,$16.99 per bottle,,750mL,8.0,Victoria,Pinot Noir,Screw Cap,2017*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Light Bodied,Dry,,,,,
43,14.5%,Hardys,Australia,The Chronicles Butcher's Gold Shiraz,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,McLaren Vale,750mL,8.6,South Australia,Shiraz,Screw Cap,2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,Ranked 81 of 107 Shiraz from McLaren Vale,,,,
44,14.5%,Deep Woods,Australia,Cabernet Sauvignon,$23.80 in any six,$141.00 per case of 6,$24.99 per bottle,Margaret River,750mL,8.6,Western Australia,Cabernet Merlot,Screw Cap,2016*,"Awards: Trophy - Gold Medal at the 2018 China Wine & Spirits Awards - Gold Medal at Perth Royal Wine Show - Royal Adelaide Wine Show 2016. 2 Gold Medals - Royal Melbourne Wine Show 2017 (2015 vintage), Royal Adelaide Wine Show 2016",Medium Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
45,14.00%,Penfolds,Australia,St Henri Shiraz 1996,$199.99 per bottle,Ranked 11 of 20 Shiraz from Australia,,,750mL,8.3,South Australia,Shiraz,Cork,1996,,Full Bodied,Dry,,,Outstanding,,
46,13.5%,O'Leary Walker,Australia,The Bookies' Bag Pinot Noir,$20.00 in any six,$120.00 per case of 6,$20.99 per bottle,Adelaide Hills,750mL,8.0,South Australia,Pinot Noir,Screw Cap,2017*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Light Bodied,Dry,,,,,
47,14.5%,Woods Crampton,Australia,The People's Champion Barossa Shiraz,$24.99 per bottle,,,Barossa Valley & Eden Valley,975mL,10.8,South Australia,Shiraz,,2017,,,,,,,,
48,14.5%,Paul Osicka,Australia,Majors Creek Vineyard Shiraz,$33.30 in any six,$199.80 per case of 6,$34.99 per bottle,Heathcote,750mL,8.6,Victoria,Shiraz,Cork,2016*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
49,14%,Hardys,Australia,Tintara Cabernet Sauvignon,$15.90 in any six,$95.40 per case of 6,$15.90 per bottle,McLaren Vale,750mL,8.3,South Australia,Cabernet Sauvignon,Screw Cap,2016*,"Awards: 3 Gold - Dan Murphy's National Wine Show of Australia 2010, Royal Hobart Wine Show 2011, Royal Adelaide Wine Show 2011",Full Bodied,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
50,14.8%,Woodstock,Australia,Shiraz,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,McLaren Vale,750mL,8.8,South Australia,Shiraz,Screw Cap,2014*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
51,13%,Pipers Brook,Australia,Pinot Noir,$35.15 in any six,$210.90 per case of 6,$36.99 per bottle,Northern Tasmania,750mL,7.7,Tasmania,Pinot Noir,Screw Cap,2017*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Light Bodied,Dry,,,,,
52,14.0%,Stella Bella,Australia,Cabernet Sauvignon,$30.39 in any six,$364.68 per case of 12,$31.99 per bottle,Margaret River,750mL,8.3,Western Australia,Cabernet Sauvignon,Screw Cap,2014*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
53,14%,Jim Barry,Australia,The McRae Wood Shiraz,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,Clare Valley,750mL,8.3,South Australia,Shiraz,Cork,2014*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,Ranked 20 of 35 Shiraz from Clare Valley,,,,
54,14.50%,Penfolds,Australia,St Henri Shiraz 2002,$190.00 in any six,"$1,140.00 per case of 6",$199.99 per bottle,,750mL,8.6,South Australia,Shiraz,Cork,2002,Ranked 4 of 42 Shiraz from Barossa Valley,Full Bodied,Dry,,,Outstanding,,
55,13.2%,Soumah,Australia,Bluestone Single Vineyard Pinot Noir,$32.30 in any six,$387.60 per case of 12,$33.99 per bottle,Yarra Valley,750mL,7.8,Victoria,Pinot Noir,Screw Cap,2017*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Light Bodied,Dry,,,,,
56,14.5%,Water Wheel,Australia,Memsie Shiraz,$10.45 in any six,$125.40 per case of 12,$10.99 per bottle,Bendigo,750mL,8.6,Victoria,Shiraz,Screw Cap,2016,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
57,14.8%,Campbells,Australia,Rutherglen Durif,$25.65 in any six,$153.90 per case of 6,$26.99 per bottle,Rutherglen,750mL,8.8,Victoria,Durif,Screw Cap,2016*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Dry,,,,,
58,13.5%,Longview,Australia,Boatshed Nebbiolo Rosato,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,Adelaide Hills,750mL,8.0,South Australia,Nebbiolo,Screw Cap,2018*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Light Bodied,Dry,,,,,
59,13.0,Barokes,Australia,Cabernet Shiraz Bin 121,$3.16 per bottle,$38.00 per case of 12,,,250ml,2.6,,Cabernet Shiraz,Can Closure,,,Full Bodied,Cabernet Shiraz,,,,,
60,12.50%,Yalumba,Australia,Premium Rose Cask 2L,$12.99 each,$74.40 per case of 6,,,2L,20,South Australia,Rosé,,,,Light Bodied,Dry,,,,true,
61,14.5%,The Magic Box,Australia,Pepperbox Shiraz,$10.90 in any six,$65.40 per case of 6,$11.50 per bottle,,700mL,8.6,South Australia,Shiraz,Screw Cap,,,,,,,,,
62,15.5%,Sevenhill,Australia,Inigo Shiraz,$18.99 in any six,$112.75 per case of 6,$19.99 per bottle,Clare Valley,750mL,9.2,South Australia,Shiraz,Screw Cap,2016*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,Ranked 18 of 21 Shiraz from Clare Valley,,,,
63,14.5%,Cockfighter's Ghost,Australia,Cabernet Sauvignon,$17.09 in any six,$102.54 per case of 6,$17.99 per bottle,Langhorne Creek,750mL,8.6,South Australia,Cabernet Sauvignon,Screw Cap,2015*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
64,14.5,Craftsman,Australia,Styles Series Shiraz,$11.40 in any six,$68.40 per case of 6,$11.99 per bottle,Barossa Valley,750mL,8.6,South Australia,Shiraz,Screw Cap,2017*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Full Bodied,Dry,,,,,
65,13.50%,Pepperjack,Australia,Cabernet Sauvignon 2012,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,Barossa Valley,750mL,8,South Australia,Cabernet Sauvignon,Screw Cap,,Ranked 9 of 26 Cabernet Sauvignon from Barossa Valley,Full Bodied,Dry,,,,,
66,14.0%,Tim Adams,Australia,The Fergus,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,Clare Valley,750mL,8.3,South Australia,Red Blend,Screw Cap,2014*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Dry,Ranked 42 of 56 Grenache from South Australia,,,,
67,13.0%,Moondarra,Australia,Studebaker Pinot Noir,$33.30 in any six,$299.70 per case of 9,$34.99 per bottle,Gippsland,750mL,7.7,Victoria,Pinot Noir,Screw Cap,2015*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Light Bodied,,Ranked 9 of 18 Pinot Noir from Gippsland,,,,
68,14.5%,St Hugo,Australia,The Unspoken Promise Cabernet Sauvignon,$71.30 in any six,$427.80 per case of 6,$74.99 per bottle,Barossa,750mL,8.6,South Australia,Caberent Sauvignon,Screw Cap,2014*,Awards: Gold medal - Barossa Wine Show 2018,,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
69,13.5% (2011),Castle Rock Estate,Australia,Pinot Noir,$33.25 in any six,$399.00 per case of 12,$34.99 per bottle,Great Southern,750mL,8 (2011),Western Australia,Pinot Noir,Screw Cap,2011*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Light Bodied,Dry,,,,,
70,11.0% (2014),Happs,Australia,Fuchsia Rosé,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,Margaret River,750mL,6.5 (2014),Western Australia,Rosé,Screw Cap,2014*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Light Bodied,Sweet,,,,,
71,13.5%,Yering Station,Australia,Shiraz Viognier,$32.29 in any six,$193.74 per case of 6,$33.99 per bottle,Yarra Valley,750mL,8.0,Victoria,Shiraz Viognier,Screw Cap,2016*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Dry,,,,,
72,14.5,Berton Vineyards,Australia,Reserve Coonawarra Cabernet 2016,Delivery Offer$84.00 per case of 6,$16.99 per bottle,$90.00 per case of 6,,750mL,8.6,,Cabernet Sauvignon,Screw Cap,2015,"Awards: GOLD - AWC Vienna International Wine Challenge
GOLD - Adelaide Wine Show 
GOLD-China Wine & Spirit Awards CWSA
SILVER -",Full Bodied,,,,,,
73,15,Pure Vision,Australia,Pure Vision Organic Shiraz 2011,$15.00 per bottle,$90.00 per case of 6,,,750mL,8.9,,Shiraz,Screw Cap,2011,,Full Bodied,Shiraz,,,,,true
74,13.0%,Mount Mary,Australia,Quintet 2005,$179.99 per bottle,Ranked 2 of 25 Cabernet Sauvignon from Victoria,,Yarra Valley,750mL,7.7,Victoria,Red Blend,Cork,2005,,,Dry,,,Exceptional,,
75,7.5%,Brown Brothers,Australia,Cienna 275mL,$19.99 per pack of 4,$99.99 per case of 24,$5.49 per bottle (in store),,275mL,1.6,,Cienna,Screw Cap,Non Vintage*,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Sweet,,,,,
76,14.5%,Penfolds,Australia,Bin 169 Cabernet Sauvignon 2016,$359.00 per bottle,"$2,154.00 per case of 6",,Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Cork,,,,,,,,,
77,14.0% (2015),Young Brute,Australia,Red Blend,$11.30 in any six,$67.80 per case of 6,$11.88 per bottle,Wrattonbully,750mL,8.3 (2015),South Australia,Shiraz Cab Blends,Screw Cap,2015*,"Awards: 2 Gold Medals - 2016 Rutherglen Wine Show, 2016 Royal Melbourne Wine Show, Best Shiraz/ Cabernet Sauvignon Blend - Royal Melbourne Wine Awards 2016. Runner Up - Jimmy Watson Trophy 2016",,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
78,14.0,Angus The Bull,Australia,Angus The Bull Cabernet Sauvignon 2016 375mL,$9.95 per bottle,$119.40 per case of 12,Awards: 93 Points - Dan Murphy Tasting Panel,Central Victoria,375mL,4.2,Victoria,Cabernet Sauvugnon,Screw Cap,,,Full Bodied,Dry,,,,,
79,13%,Head,Australia,Rosé Grenache 2018,$23.80 in any six,$285.60 per case of 12,$24.99 per bottle,Barossa Valley,750mL,7.7,South Australia,Rosé,,2018,,,,,,,,
80,14.5%,Penfolds,Australia,RWT Barossa Valley Shiraz 2014,$170.00 in any six,"$1,020.00 per case of 6",$179.00 per bottle,Barossa Valley,750mL,8.6,South Australia,Shiraz,Screw Cap,,Ranked 1 of 117 Shiraz from Barossa Valley,Full Bodied,Dry,,,,,
81,14.00%,Best's Great Western,Australia,Thomson Family Shiraz 2006,$176.99 per bottle,,,Grampians,750mL,8.3,Victoria,Shiraz,Cork,2006,,Full Bodied,Dry,,,Outstanding,,
