,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Region,Size,Standard Drinks,State,Varietal,Wine Style,Price Option 3,Langtons Classified,Price Option 4,Wine Body,Price Option 5,Organic,Vegan Friendly
34,13.50%,Tyrrell's,Cork,Australia,2003,Vat 47 Chardonnay 2003,$54.99 per bottle,,,Hunter Valley,750mL,8,New South Wales,Chardonnay,Dry,,Excellent,,,,,
35,14.00%,Tyrrell's,Screw Cap,Australia,2007,Vat 47 Chardonnay 2007,$53.99 per bottle,Ranked 5 of 20 Chardonnay from Lower Hunter,,Hunter Valley,750mL,8.3,New South Wales,Chardonnay,Dry,,Excellent,,,,,
36,12.00%,Pikes,Screw Cap,Australia,,The Merle Riesling 2012,$49.40 in any six,$296.40 per case of 6,$51.99 per bottle,Clare Valley,750mL,7.1,South Australia,Riesling,Dry,Ranked 11 of 66 Riesling from Clare Valley,,,,,,
37,13.5%,Giaconda,Screw Cap,Australia,2016,Estate Vineyard Chardonnay 2016,$161.50 in any six,$969.00 per case of 6,$169.99 per bottle,Beechworth,750mL,8,Victoria,Chardonnay,,,,,,,,
38,11.00%,Tyrrell's,Cork,Australia,2000,Vat 1 Semillon 2000,$142.50 in any six,$149.99 per bottle,,Hunter Valley,750mL,6.5,New South Wales,Semillon,Dry,,Outstanding,,,,,
39,13.00%,Penfolds,Screw Cap,Australia,,Yattarna Chardonnay 2014,$129.00 per bottle,Ranked 6 of 401 Chardonnay from Australia,,Adelaide Hills,750mL,7.7,South Australia,Chardonnay,Dry,,,,,,,
40,8.30%,Sorby Adams,Screw Cap,Australia,2013,Amelia Sweet Riesling 2013,,,,Eden Valley,750mL,4.9,South Australia,Riesling,Sweet,,,,,,,
41,13.20%,Penfolds,Cork,Australia,,Bin 94A Chardonnay 1994,$98.99 per bottle,,,,750mL,7.8,,Chardonnay,Dry,,,,,,,
42,12.50%,Penfolds,Cork,Australia,,Yattarna Chardonnay 1995,$95.99 per bottle,,,,750mL,7.4,South Australia,Chardonnay,Dry,,,,,,,
43,13.5% (2012),McWilliam's,Screw Cap,Australia,2012*,Inheritance Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,8 (2012),New South Wales,Chardonnay,Dry,,,,,,,
44,12.00%,Seppelt,Screw Cap,Australia,2008,Drumborg Riesling 2008,$33.25 in any six,$199.50 per case of 6,$34.99 per bottle,Grampians,750mL,7.1,Victoria,Riesling,Dry,,,,,,,
45,10.00%,Tyrrell's,Cork,Australia,2002,Vat 1 Semillon 2002,$144.99 per bottle,Ranked 3 of 16 Sémillon from New South Wales,,Hunter Valley,750mL,5.9,New South Wales,Semillon,Dry,,Outstanding,,,,,
46,13.00%,Penfolds,Screw Cap,Australia,2015,Yattarna Chardonnay 2015,$129.00 per bottle,Ranked 30 of 521 Chardonnay from Australia,,Adelaide Hills,750mL,7.7,South Australia,Chardonnay,Dry,,,,,,,
47,9.0% (2008),Hanging Rock,Screw Cap,Australia,2008*,S Dessert Wine 375mL,$9.88 in any six,$118.56 per case of 12,$9.88 per bottle,Strathbogie Ranges,375mL,2.4 (2008),Victoria,,Sweet,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
48,9.5% (2012),Evans & Tate,Screw Cap,Australia,2012,Cloud Dancer Chardonnay,$8.90 in any six,$53.40 per case of 6,$8.90 per bottle,,750mL,5.6 (2012),Western Australia,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
49,12.0% (2011),Rosemount,Screw Cap,Australia,2011*,Diamond Label Riesling,$7.90 in any six,$47.40 per case of 6,$8.30 per bottle,,750mL,7.1 (2011),South Australia,Riesling,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
50,13.00%,Carillion,Screw Cap,Australia,2011,Chardonnay,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 20 of 22 Chardonnay from Orange,Orange,750mL,7.7,New South Wales,Chardonnay,Dry,,,,,,,
51,12.5% (2012),Kangarilla Road,Screw Cap,Australia,2012*,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,McLaren Vale,750mL,7.4 (2012),South Australia,Chardonnay,Dry,,,,,,,
52,13.5% (2015),Orlando,Screw Cap,Australia,2015*,St Hilary Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 8 of 15 Chardonnay from Limestone Coast,,Padthaway,750mL,8 (2015),South Australia,Chardonnay,Dry,,,,,,,
53,11.50%,Mount Pleasant,,Australia,,Lovedale Semillon 2005,$60.79 in any six,$364.74 per case of 6,$63.99 per bottle,Hunter Valley,750mL,6.8,New South Wales,Semillon,Dry,Ranked 2 of 31 Sémillon from Lower Hunter,,,,,,
54,12.5% (2013),Heggies,Screw Cap,Australia,2013*,Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Eden Valley,750mL,7.4 (2013),South Australia,Chardonnay,Dry,,,,,,,
55,12.5% (2013),Henschke,Screw Cap,Australia,2013*,Tilly's Vineyard 375mL,$4.88 in any six,$58.56 per case of 12,$4.88 per bottle,Barossa Valley,375mL,3.7 (2013),South Australia,White Blend,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
56,13.00%,Grosset,Screw Cap,Australia,2000,Polish Hill Riesling 2000,$84.99 per bottle,,,Clare Valley,750mL,7.7,South Australia,Riesling,Dry,,Exceptional,,,,,
57,13.00%,Grosset,Screw Cap,Australia,2001,Polish Hill Riesling 2001,$69.99 per bottle,,,Clare Valley,750mL,7.7,South Australia,Riesling,Dry,,Exceptional,,,,,
58,13.00%,Petaluma,Screw Cap,Australia,2006,Hanlin Hill Riesling 2006,$36.10 in any six,$216.60 per case of 6,$37.99 per bottle,Clare Valley,750mL,7.7,South Australia,Riesling,Dry,Ranked 3 of 23 Riesling from Clare Valley,Excellent,,,,,
59,12.00%,Tim Adams,Screw Cap,Australia,2005,Riesling 2005,$24.69 in any six,$296.28 per case of 12,$25.99 per bottle,Clare Valley,750mL,7.1,South Australia,Riesling,Dry,,,,,,,
60,12.50%,Leo Buring,Screw Cap,Australia,2005,Eden Valley Riesling 2005,$16.15 in any six,$96.90 per case of 6,$16.99 per bottle,Eden Valley,750mL,7.4,South Australia,Riesling,Dry,,,,,,,
61,11.5% (2011),Bridgewater Mill,Screw Cap,Australia,2011*,Sauvignon Blanc,$14.19 in any six,$84.05 per case of 6,$14.90 per bottle,Adelaide Hills,750mL,6.8 (2011),South Australia,Sauvignon Blanc,Dry,Awards: Gold - Royal Queensland Wine Show 2012,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
62,13.0% (2009),Cassegrain,Screw Cap,Australia,2009*,Chardonnay,$15.19 in any six,$180.39 per case of 12,$15.99 per bottle,Tumbarumba,750mL,7.8 (2009),New South Wales,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
63,13.0% (2009),Hardys,Screw Cap,Australia,2009*,No Preservative Added Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,750mL,7.7 (2009),,Chardonnay,Dry,,,,,,,
64,,,,,,Unknown,,,,,,,,,,,,,,,,
65,,,,,,Unknown,,,,,,,,,,,,,,,,
66,12% (2017),Lethbridge,Screw Cap,Australia,2017*,Dr Nadeson Riesling,$28.50 in any six,$342.00 per case of 12,$29.99 per bottle,Geelong,750mL,7.1 (2017),Victoria,Riesling,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
67,13.00%,Marchand and Burch,Screw Cap,Australia,2015*,Villages Chardonnay,$33.30 in any six,$199.80 per case of 6,$34.99 per bottle,Great Southern,750mL,7.7,Western Australia,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 86 of 103 Chardonnay from Western Australia,,,,
68,13.5% (2015),Deakin Estate,Screw Cap,Australia,2015*,Chardonnay,$6.90 in any six,$45.54 per case of 6,$6.90 per bottle,Murray Darling,750mL,8.0 (2015),Victoria,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 177 of 194 Chardonnay from Victoria,,,,
69,11.50%,Morris,Cask Closure,Australia,Non Vintage,Premium Dry White Cask 4L,,,,Rutherglen,4L,36,Victoria,White Blend,Dry,,,,,,,
70,13.50%,Giaconda,Screw Cap,Australia,2015,Chardonnay 2015 750mL,$123.50 in any six,$741.00 per case of 6,$129.99 per bottle,Beechworth,750mL,8,Victoria,Chardonnay,Dry,Ranked 7 of 20 Chardonnay from North East Victoria,,,,,,
71,12.5% (2012),Tolley,Screw Cap,Australia,2012*,Musica Pinot Gris,$3.88 in any six,$23.28 per case of 6,$3.88 per bottle,Eden Valley,750mL,7.4 (2012),South Australia,Pinot Gris,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
72,9.50%,Morris,Cask Closure,Australia,Non Vintage,Fresh Dry White Cask 4L,,,,,4L,30,,White Blend,Dry,,,,,,,
73,12.00%,De Bortoli,Cork,Australia,1983,Noble One Botrytis Semillon 1983,$139.99 per bottle,,,Riverina,750mL,7.1,New South Wales,Semillon,Sweet,,Outstanding,,,,,
74,13.80%,Petaluma,Cork,Australia,2001,Chardonnay 2001,$46.99 per bottle,,,Adelaide Hills,750mL,8.2,South Australia,Chardonnay,Dry,,,,,,,
75,12.50%,Warburn,Cask Closure,Australia,Non Vintage,Premium Colombard Chardonnay Cask 4L,,,,,4L,39.5,,Colombard Chardonnay,Dry,,,,,,,
76,8.5% (2014),Charles Sturt,Screw Cap,Australia,2014*,Moscato,$13.29 in any six,$159.48 per case of 12,$13.99 per bottle,Riverina,750mL,5.0 (2014),New South Wales,Moscato,Semi Sweet,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur",,,,,,
77,12.5% (2013),Charles Sturt,Screw Cap,Australia,2013*,Sauvignon Blanc,$13.29 in any six,$159.48 per case of 12,$13.99 per bottle,Orange,750mL,7.4,New South Wales,Sauvignon  Blanc,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur",,,,,,
78,13.5% (2014),Goundrey,Cask Closure,Australia,2014*,Homestead Unwooded Chardonnay Magnum Magnum 1.5L,$13.90 in any six,$83.40 per case of 6,$13.90 each,Great Southern,1.5L,16.0 (2014),Western Australia,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
79,13.5%,Rockcliffe,Screw Cap,Australia,2017,Quarram Rocks Chardonnay 2017,$20.99 per bottle,,,,750mL,8,Western Australia,Chardonnay,,,,,,,,
80,12.50%,Pewsey Vale,Screw Cap,Australia,,The Contours Riesling 2005,$47.49 in any six,$49.99 per bottle,,Eden Valley,750mL,7.4,South Australia,Riesling,Dry,,,,,,,
81,13.5% (2015),Hardys,Screw Cap,Australia,2015*,Siegersdorf Chardonnay,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Limestone Coast,750mL,8.0 (2015),South Australia,Chardonnay,Dry,,,,,,,
82,11.5% (2005),Penfolds,Screw Cap,Australia,2005,Reserve Bin Aged Release Riesling,$23.75 in any six,$140.95 per case of 6,$24.99 per bottle,,750mL,6.8 (2005),South Australia,Riesling,Dry,"Awards: 2 Trophies - Royal Queenslad Wine Show 2009. 5 Gold - Royal Queensland Wine Show 2009, Barossa Wine Show 2010, Royal Adelaide Wine Show 2008, Sydney Royal Wine Show 2008, Royal Adelaide Wine Show 2006",,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Ranked 16 of 33 Riesling from South Australia,,
83,12.0% (2010),Leo Buring,Screw Cap,Australia,2010*,Eden Valley Riesling,$15.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 12 of 28 Riesling from Eden Valley,Barossa Valley,750mL,7.3 (2010),South Australia,Riesling,Dry,,,,,,,
84,12.0% (2010),Temple Bruer,Screw Cap,Australia,2010*,Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Langhorne Creek,750mL,7.1 (2010),South Australia,Riesling,Dry,,,,,,true,
85,13.5% (2010),Four Sisters,Screw Cap,Australia,2010*,Chardonnay,$12.35 in any six,$73.29 per case of 6,$12.99 per bottle,Nagambie,750mL,8.0 (2010),Victoria,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
86,12.5,Paxton,Screw Cap,Australia,Screw Cap,Paxton The Guesser White,$17.50 per bottle,$210.00 per case of 12,Dry White,McLaren Vale,750mL,8,WNE,"Pinot Gris, Sauvigno",Dry,,,,,,,
87,13%,Serafino,Screw Cap,Australia,,Bellissimo Fiano 2018,$22.00 per bottle,$132.00 per case of 6,,McLaren Vale,750mL,7.7,,Fiano,,,,,,,,
88,13.5,Tall Poppy,Screw Cap,Australia,,Chardonnay,$14.99 per bottle,$110.00 per case of 12,,,750mL,8,,Chardonnay,Dry,,,,,,,
89,12.5,Epic Negociants,Screw Cap,Australia,,Blue Sky Pinot Gris 2017,$18.00 per bottle,$108.00 per case of 6,,Murray Darling and Riverina,750mL,7.2,,Pinot Gris,,,,,,,,
90,12.1,Portarlington Ridge,Screw Cap,Australia,,Chardonnay,$18.00 per bottle,$150.00 per case of 12,,,750mL,7.1,,Chardonnay,Dry,,,,,,,
91,11.5,Signor Vino,Screw Cap,Australia,2014,Signor Vino Fiano,$15.00 per bottle,$140.00 per case of 12,,Riverina,750mL,6.8,,Fiano,,,,,,,,
92,13,Signor Vino,Screw Cap,Australia,2015,Signor Vino Vermentino,$15.00 per bottle,$140.00 per case of 12,,Riverina,750mL,7.7,,Vermentino,,,,,,,,
93,11.0% (2008),Gramp's,Screw Cap,Australia,2008*,Botrytis Semillon 375mL,$10.88 in any six,$130.56 per case of 12,$10.88 per bottle,Riverina,375mL,3.3 (2008),New South Wales,Semillon,Sweet,Awards: Trophy - Royal Adelaide Wine Show 2012. Gold - Royal Adelaide Wine Show 2012,,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,
94,12.5% (2009),Yalumba,Screw Cap,Australia,2009*,Wild Ferment Chardonnay,$10.90 in any six,$130.80 per case of 12,$10.90 per bottle,Eden Valley,750mL,7.6 (2009),South Australia,Chardonnay,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,true
95,12.50%,Penfolds,Screw Cap,Australia,2007,Reserve Bin A Chardonnay 2007,$104.50 in any six,$627.00 per case of 6,$110.00 per bottle,Adelaide Hills,750mL,7.4,South Australia,Chardonnay,Dry,Ranked 5 of 26 Chardonnay from Adelaide Hills,,,,,,
96,12.0% (2015),Peter Lehmann,Screw Cap,Australia,2015*,Classic Barossa Blonde Classic Dry White,$5.88 in any six,$35.28 per case of 6,$5.88 per bottle,Barossa Valley,750mL,7.1 (2015),South Australia,White Blend,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
97,12.00%,O'Leary Walker,Screw Cap,Australia,,Polish Hill River Riesling 2008,$27.60 in any six,$327.60 per case of 12,$28.99 per bottle,Clare Valley,750mL,7.1,South Australia,Riesling,Dry,Awards: Regional Trophy - Decanter World Wine Awards 2014. Elite Gold - Canberra International Riesling Challenge 2015. Gold Medal - Royal Queensland Wine Show 2013,,Ranked 36 of 48 Riesling from Clare Valley,,,,
98,13.0% (2016),Domaine Naturaliste,Screw Cap,Australia,2016*,Sauvignon Blanc Semillon,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Margaret River,750mL,7.7 (2016),Western Australia,Sauvignon Blanc Semillon,,,,,,,,
99,12%,Cleanskin,,Australia,2017,Brown Label Riesling 2017,$8.55 in any six,$51.30 per case of 6,$8.99 per bottle,Clare Valley,750mL,7.1,South Australia,Riesling,,Awards: Gold - International Wine Challenge 2018,,Ranked 56 of 70 Riesling from Clare Valley,,,,
100,12.5%,Hardys,Screw Cap,Australia,2017*,Siegersdorf Riesling,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,Clare Valley,750mL,7.4,South Australia,Riesling,Dry,,,,,,,
101,,,,,,Unknown,,,,,,,,,,,,,,,,
102,12.5% (2012),Wolf Blass,Screw Cap,Australia,2012*,Yellow Label Sauvignon Blanc,$9.95 in any six,$59.70 per case of 6,$9.95 per bottle,,750mL,7.4 (2012),South Australia,Sauvignon Blanc,Dry,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,,,,
