,Alcohol Volume,Brand Name,Closure,Country,Current Vintage,Name,Price Option 0,Price Option 1,Price Option 2,Price Option 3,Price Option 4,Region,Size,Standard Drinks,State,Varietal,Wine Body,Wine Style,Langtons Classified,Price Option 5,Organic,Vegan Friendly
15,14.5%,Glaetzer,Screw Cap,Australia,2016*,Bishop Shiraz,$31.40 in any six,$186.60 per case of 6,$32.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 80 of 108 Shiraz from Barossa Valley,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
16,14.0%,Vasse Felix,Screw Cap,Australia,2016*,Classic Dry Red 750mL,$14.90 in any six,$89.40 per case of 6,$15.70 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.3,Western Australia,Shiraz Cabernet,,Dry,,,,
17,13.9%,Jacob's Creek,Screw Cap,Australia,2017*,Classic Cabernet Sauvignon,$5.95 in any six,$35.70 per case of 6,$5.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.2,,Cabernet Sauvignon,Full Bodied,Dry,,,,
18,14.9%,Gibson,Screw Cap,Australia,2017*,The Dirtman Shiraz,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.9,South Australia,Shiraz,Full Bodied,Dry,,,,
19,13.5%,Tyrrell's,Screw Cap,Australia,2017*,Old Winery Pinot Noir,$10.45 in any six,$62.70 per case of 6,$10.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.0,New South Wales,Pinot Noir,Light Bodied,Dry,,,,
20,13%,De Bortoli,Screw Cap,Australia,2018*,Villages Yarra Valley Pinot Noir,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,,,,
21,14%,Frogmore Creek,Screw Cap,Australia,2016*,Pinot Noir,$31.40 in any six,$188.40 per case of 6,$32.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.3,Tasmania,Pinot Noir,Light Bodied,Dry,,,,
22,13.8%,Spring Vale,Screw Cap,Australia,2018*,Melrose Pinot Noir,$22.79 in any six,$273.48 per case of 12,$23.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 29 of 35 Pinot Noir from Australia,East Coast Tasmania,750mL,8.2,Tasmania,Pinot Noir,Light Bodied,Dry,,,,
23,14.5%,Heartland,Screw Cap,Australia,2015*,Directors' Cut Shiraz,$31.35 in any six,$188.10 per case of 6,$32.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 42 of 109 Shiraz from Fleurieu,Langhorne Creek,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
24,16%,Mollydooker,Screw Cap,Australia,2017*,Blue Eyed Boy Shiraz,$43.70 in any six,$262.20 per case of 6,$45.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,9.5,South Australia,Shiraz,Full Bodied,Dry,,,,
25,13.5%,Stefano Lubiana,Screw Cap,Australia,2017*,Primavera Pinot Noir,$36.10 in any six,$433.20 per case of 12,$37.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 38 of 125 Pinot Noir from Tasmania,,750mL,8.3,Tasmania,Pinot Noir,Light Bodied,Dry,,,,
26,14%,Cape Mentelle,Screw Cap,Australia,2016,Trinders Cabernet Merlot,$23.80 in any six,$142.80 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,
27,16%,Chris Ringland,Screw Cap,Australia,2013*,Reservation Shiraz,$47.50 in any six,$285.00 per case of 6,$49.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,9.5,South Australia,Shiraz,Full Bodied,Dry,,,,
28,14.5%,Grant Burge,Screw Cap,Australia,2017*,5th Generation Shiraz,$13.95 in any six,$83.70 per case of 6,$13.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
29,13.5%,Rawson's Retreat,Screw Cap,Australia,2018*,Cabernet Sauvignon,$7.60 in any six,$45.60 per case of 6,$7.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.0,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
30,13.5%,Woodlands,Screw Cap,Australia,2010,Cabernet Sauvignon 2010,$180.50 in any six,"$2,166.00 per case of 12",$189.99 per bottle,"Awards: Decanter World Wine Awards, 2013: Silver, 
Japan Wine Challenge, 2013: Bronze",,Margaret River,750mL,8,Western Australia,Caberent Sauvignon,,,,,,
31,14.5%,Penfolds,Screw Cap,Australia,2015*,Bin 150 Marananga Shiraz 2015,$85.50 in any six,$513.00 per case of 6,$89.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 46 of 135 Shiraz from Barossa Valley,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
32,14%,Grant Burge,Screw Cap,Australia,2016*,Cameron Vale Cabernet Sauvignon,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.3,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
33,13.0% (2016),Cleanskin,Screw Cap,Australia,2016*,WE3 Cabernet Merlot,$3.75 in any six,$45.00 per case of 12,$3.94 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.7 (2016),South Australia,Cabernet Merlot,Medium Bodied,Dry,,,,
34,13.5%,19 Crimes,,Australia,2016*,Shiraz,$10.40 in any six,$59.70 per case of 6,$10.95 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,South Eastern Australia,750mL,8.0,,Shiraz,Full Bodied,Dry,,,,
35,13.5%,Nugan Estate,,Australia,2015,Alfredo King Valley Sangiovese 2015,Delivery Offer$14.90 per bottle,$18.10 in any six,$217.20 per case of 12,$18.99 per bottle,"Awards: 2017 Adelaide Wine Show BEST SANGIOVESE,
2017 Adelaide Wine Show TOP GOLD,
2017 Royal Hobart Wine Show SILVER,
2017 Australian Italian Varieties Show SILVER",King Valley,750mL,8,Victoria,Sangiovese,,,,,,
36,13.5%,Yellow Tail,Screw Cap,Australia,2017*,Cabernet Sauvignon,$7.95 in any six,$44.70 per case of 6,$7.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,South Eastern Australia,750mL,8.0,,Cabernet Sauvignon,Full Bodied,Dry,,,,
37,14%,Yarra Yering,Screw Cap,Australia,2016,Dry Red No. 1 2016,$117.80 in any six,"$1,413.60 per case of 12",$123.99 per bottle,"Awards: Trophy Winner, Best Cabernet Varieties & Their Blends - Yarra Valley Wine Show 2018",,Yarra Valley,750mL,8.3,Victoria,Shiraz,,,Outstanding,,,
38,12.5%,Gossips,Screw Cap,Australia,2018*,Cabernet Merlot,$4.30 in any six,$25.80 per case of 6,$4.49 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.4,,Cabernet Merlot,Medium Bodied,Dry,,,,
39,14.000000000000002%,Riddoch,Screw Cap,Australia,2017*,Shiraz,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,Awards: Gold - China Wine & Spirits Awards 2018,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,
40,13.5%,Coldstream Hills,Screw Cap,Australia,2017*,Pinot Noir,$28.99 per bottle,$165.60 per case of 6,$27.60 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Yarra Valley,750mL,8.0,Victoria,Pinot Noir,Light Bodied,Dry,,,,
41,14%,Xanadu,Screw Cap,Australia,2014,Cabernet Sauvignon,$30.39 in any six,$169.80 per case of 6,$31.99 per bottle,"Awards: 2014: Trophy, 2018 Wine Show of Western Australia,
Best Older Red
Trophy, 2018 Wine Show of Western Australia,
Best Cabernet Sauvignon
Trophy, 2016 National Wine Show of Australia,
The Cabernet Sauvignon Trophy
Trophy, 2016 National Wine Show of Australia
Gold, 2018 Sydney Royal Wine Show
Gold, 2018 Wine Show of WA
Gold, 2016 National Wine Show of Australia
Gold, 2016 Sydney Royal Wine Show","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Margaret River,750mL,8.3,Western Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
42,12.5%,Gossips,Screw Cap,Australia,2018*,Shiraz,$4.30 in any six,$25.80 per case of 6,$4.49 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.4,,Shiraz,Full Bodied,Dry,,,,
43,13.5%,De Bortoli,Screw Cap,Australia,2017*,Sacred Hill Cabernet Merlot,$4.75 in any six,$24.70 per case of 6,$4.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.0,New South Wales,Cabernet Merlot,Medium Bodied,Dry,,,,
44,14.5%,Wirra Wirra,Screw Cap,Australia,2015*,Sparrow's Lodge Shiraz,$15.90 in any six,$95.40 per case of 6,$16.70 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
45,14.5%,d'Arenberg,Screw Cap,Australia,2016*,Stump Jump Grenache Shiraz Mourvedre,$9.40 in any six,$112.80 per case of 12,$9.90 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,McLaren Vale,750mL,8.6,South Australia,Grenache Shiraz Mourvèdre,Medium Bodied,Dry,,,,
46,12.0%,Gossips,Screw Cap,Australia,2018*,Merlot,$4.30 in any six,$25.80 per case of 6,$4.49 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,7.1,,Merlot,Medium Bodied,Dry,,,,
47,14.5%,Pirathon,Screw Cap,Australia,2016*,Shiraz,$23.75 in any six,$142.50 per case of 6,$24.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 26 of 108 Shiraz from Barossa Valley,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
48,,,,,,Unknown,,,,,,,,,,,,,,,,
49,14.5%,Jacob's Creek,Screw Cap,Australia,2016*,Barossa Signature Shiraz,$18.10 in any six,$108.60 per case of 6,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
50,13.5%,Bay of Fires,Screw Cap,Australia,2016*,Pinot Noir,$37.10 in any six,$222.60 per case of 6,$38.99 per bottle,Awards: Trophy - Best Australian Pinot Noir over £20 - Decanter World Wine Awards 2016; Gold Medal - Sydney Royal Wine Show 2016 and National Wine Show Canberra and Decanter World Wine Awards 2016 and Royal Adelaide Wine Show 2016 and Royal Melbourne Wine Show 20,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8,Tasmania,Pinot Noir,Light Bodied,Dry,,Ranked 42 of 116 Pinot Noir from Tasmania,,
51,14%,Grant Burge,Screw Cap,Australia,2016*,Filsell Shiraz,$32.30 in any six,$193.80 per case of 6,$33.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 21 of 108 Shiraz from Barossa Valley,Barossa Valley,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,,,,
52,13.5%,Vasse Felix,Screw Cap,Australia,2017*,Cabernet Merlot,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Margaret River,750mL,8.0,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,
53,14.2,Organic Hill,Screw Cap,Australia,,Founders Release Shiraz,Delivery Offer$150.00 per case of 6,$50.00 per bottle,$300.00 per case of 6,,,McLaren Vale,750mL,8.2,South Australia,Shiraz,Medium Bodied,Dry,,,true,true
54,14,Epic Negociants,Screw Cap,Australia,2018,No. 42 Rosé 2018,$25.00 per bottle,$150.00 per case of 6,,,,Multi-Regional Blend,750mL,8.3,Victoria,"Shiraz, Cabernet, Merlot",Light Bodied,Rose,,,,
55,14.2%,George Wyndham,Screw Cap,Australia,2013,Bin 555 Shiraz 2013,$15.10 in any six,$90.60 per case of 6,$15.90 per bottle,,,Hunter Valley,750mL,8.4,New South Wales,Shiraz,,,,,,
56,13.5%,Scotchmans Hill,Screw Cap,Australia,2016*,Pinot Noir,$30.39 in any six,$182.34 per case of 6,$31.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 18 of 21 Pinot Noir from Geelong,Geelong,750mL,8.0,Victoria,Pinot Noir,Light Bodied,Dry,,,,
57,14.5%,Wirra Wirra,Screw Cap,Australia,2017,Original Blend 2017,$21.90 in any six,$131.40 per case of 6,$22.99 per bottle,,,McLaren Vale,750mL,8.6,South Australia,,,,,,,
58,14.5%,Ingoldby,Screw Cap,Australia,2017*,Shiraz,$14.25 in any six,$85.50 per case of 6,$14.99 per bottle,"Awards: Gold Medal, 2017 National Wine Show of Australia, Class 16 - Dry Red Table Wines - Shiraz 2016 Gold Medal, 2017 Great Australian Shiraz Challenge Gold Medal, 2017 Royal Adelaide Wine Show, Class 31 - Still Wine - Red Wine - Shiraz - 2016 Vintage Gold Meda","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",McLaren Vale,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
59,14.5%,d'Arenberg,Screw Cap,Australia,2015*,High Trellis Cabernet Sauvignon,$18.05 in any six,$217.20 per case of 12,$18.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 15 of 28 Cabernet Sauvignon from McLaren Vale,McLaren Vale,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
60,13.5%,Wolf Blass,Screw Cap,Australia,2016*,Yellow Label Cabernet Sauvignon,$9.95 in any six,$59.70 per case of 6,$9.95 per bottle,Awards: Gold - China Wine & Spirit Awards 2014,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.0,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,Ranked 71 of 95 Cabernet Sauvignon from South Australia,,
61,14.5%,De Bortoli,Screw Cap,Australia,2015*,First Block Shiraz,$7.60 in any six,$45.60 per case of 6,$7.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.6,,Shiraz,Full Bodied,Dry,,,,
62,13.5%,Woodlands,Screw Cap,Australia,2011,Cabernet Merlot 2011,$211.20 per case of 6,$36.99 per bottle,"Awards: Gold Medal – Margaret River Wine Show 2013 01 Jan 2013, 
Double Gold Medal – Sakura Women’s Wine Awards",,,Margaret River,750mL,8,Western Australia,Cabernet Merlot,,,,,,
63,13%,Kooyong,Screw Cap,Australia,2017*,Massale Pinot Noir,$28.50 in any six,$171.00 per case of 6,$29.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 20 of 23 Pinot Noir from Mornington Peninsula,Mornington Peninsula,750mL,7.7,Victoria,Pinot Noir,Light Bodied,Dry,,,,
64,14.8%,Campbells,Screw Cap,Australia,2016*,Shiraz Durif,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Rutherglen,750mL,8.8,Victoria,Shiraz Durif,,Dry,,,,
65,13.5%,Wynns,Screw Cap,Australia,,Black Label Shiraz 2012,$40.80 in any six,$244.80 per case of 6,$42.90 per bottle,"Awards: Gold - Sydney International Wine Competition Awarded: 2015, Silver - International Wine & Spirit Competition Awarded: 2015, Bronze - Decanter World Wine Awards Awarded: 2015, Bronze - International Wine Challenge Awarded: 2015, Bronze - Hong Kong Internat",Ranked 6 of 24 Shiraz from Coonawarra,Coonawarra,750mL,8.0,South Australia,Shiraz,Full Bodied,Dry,,,,
66,14%,Wills Domain,Screw Cap,Australia,2014*,Cabernet Merlot,$20.90 in any six,$125.40 per case of 6,$21.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 26 of 34 Cabernet Sauvignon from Margaret River,Margaret River,750mL,8.3,Western Australia,Cabernet Merlot,Medium Bodied,Dry,,,,
67,14.5%,Penfolds,Screw Cap,Australia,2009*,St Henri Shiraz 2009,$114.00 in any six,$684.00 per case of 6,$119.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 12 of 108 Shiraz from Barossa Valley,,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,Outstanding,,,
68,13.5%,Innocent Bystander,Screw Cap,Australia,2017*,Pinot Noir,$21.85 in any six,$131.10 per case of 6,$22.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 64 of 112 Pinot Noir from Victoria,Yarra Valley,750mL,8.0,Victoria,Pinot Noir,Light Bodied,Dry,,,,
69,13.50%,Taylors,Screw Cap,Australia,2016*,Jaraman Pinot Noir,$23.90 per bottle,$136.20 per case of 6,$22.70 in any six,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 303 of 401 Pinot Noir from Australia,Yarra Valley,750mL,8.3,South Australia,Pinot Noir,Light Bodied,Dry,,,,
70,14.50%,Chris Ringland,Cork,Australia,,Dry Grown Shiraz 2004,"$1,399.00 per bottle",,,,,Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
71,14.5%,Temple Bruer,Screw Cap,Australia,2018,Preservative Free Cabernet Merlot,$19.00 in any six,$114.00 per case of 6,$19.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,Langhorne Creek,750mL,8.6,South Australia,Merlot,Medium Bodied,Dry,,,true,
72,14.5%,Angove,Screw Cap,Australia,2018,Organic Shiraz Cabernet,$13.30 in any six,$79.80 per case of 6,$13.99 per bottle,Awards: 2017 Wine Of The Year - Australian Certified Organics Awards (ACOA),"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,750mL,8.6,South Australia,Shiraz Cabernet,,Dry,,,true,
73,14.5%,Brand's Laira,Screw Cap,Australia,2017*,Blockers Cabernet Sauvignon,$18.90 in any six,$113.40 per case of 6,$19.90 per bottle,"Awards: 4 Gold Medals - Mundus Vini Summer Tasting in Germany 2017, Royal Queensland Wine Show 2017, Royal Sydney Wine Show 2017, Rutherglen Wine Show 2017","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Coonawarra,750mL,8.6,South Australia,Cabernet Sauvignon,Full Bodied,Dry,,,,
74,14.5%,Secret Selection,,Australia,2017,McLaren Vale Grenache Mataro 2017,Online Offer$12.90 per bottle,$25.70 in any six,$154.20 per case of 6,$26.99 per bottle,,McLaren Vale,750mL,8.6,South Australia,Grenache Mataro,,,,,,
75,13.5%,Wirra Wirra,Screw Cap,Australia,2018*,Mrs Wigley Grenache Rosé,$16.20 in any six,$97.20 per case of 6,$16.99 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Ranked 8 of 24 Grenache from South Australia,McLaren Vale,750mL,8.0,South Australia,Grenache,Light Bodied,Dry,,,,
76,17.60%,Chris Ringland,Cork,Australia,,Dry Grown Shiraz 2005,"$1,350.00 per bottle",,,,,Barossa Valley,750mL,10.4,South Australia,Shiraz,Full Bodied,Dry,,,,
77,14.00%,Penfolds,Cork,Australia,1996,Grange 1996,$899.00 per bottle,Ranked 1 of 20 Shiraz from Australia,,,,,750mL,8.3,South Australia,Shiraz,Full Bodied,Dry,Exceptional,,,
78,13.50%,Penfolds,Cork,Australia,1990,Grange 1990,$899.00 per bottle,Ranked 2 of 16 Shiraz from Australia,,,,,750mL,8,South Australia,Shiraz,Full Bodied,Dry,Exceptional,,,
79,14.5%,Krondorf,Screw Cap,Australia,2017*,Shiraz,$15.20 in any six,$91.20 per case of 6,$15.99 per bottle,"Awards: 2 Gold - International Wine & Spirits Competition London 2012, Perth Royal Wine Show 2012
Gold San Francisco Wine show 2018","* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",Barossa Valley,750mL,8.6,South Australia,Shiraz,Full Bodied,Dry,,,,
80,14.0%,Brokenwood,Screw Cap,Australia,2016*,Cricket Pitch Cabernet Merlot Shiraz,$15.90 in any six,$95.40 per case of 6,$16.70 per bottle,"* Vintages may vary from store to store and when delivered. Every effort is made to ensure the current vintage is displayed, however variations can occur.",,,750mL,8.3,South Australia,Cabernet Merlot Shiraz,,Dry,,,,
